Codes,Names,PPH_2013,White (%),Mixed/multiple ethnic groups (%),Asian/Asian British (%),Black/African/Caribbean/Black British (%),Other ethnic group (%),BAME (%),Median Annual Household Income estimate (£)
E01004645,Wandsworth 016E,135,63.7,6.1,8.8,18.5,2.9,36.3,26801
E01004477,Wandsworth 017A,83,92.0,1.8,4.7,1.1,0.3,8.0,75593
E01004478,Wandsworth 017B,166,84.5,4.6,6.5,3.3,1.0,15.5,73947
E01004479,Wandsworth 017C,107,88.4,2.6,4.7,3.5,0.7,11.6,65488
E01004550,Wandsworth 017D,105,77.1,5.9,5.4,9.1,2.5,22.9,46317
E01004555,Wandsworth 017E,125,88.6,4.3,3.7,2.5,0.8,11.4,72580
E01004494,Wandsworth 018A,140,72.0,6.0,9.5,10.6,1.9,28.0,37956
E01004513,Wandsworth 018B,125,65.2,6.4,12.1,13.9,2.4,34.8,33945
E01004600,Wandsworth 018C,166,44.9,7.4,14.1,31.1,2.6,55.1,28277
E01004601,Wandsworth 018D,73,69.9,5.0,16.2,7.1,1.8,30.1,36709
E01004493,Wandsworth 019A,126,78.2,3.9,8.9,7.6,1.5,21.8,40404
E01004512,Wandsworth 019B,127,83.5,3.8,7.1,4.5,1.1,16.5,56638
E01004620,Wandsworth 019C,158,80.8,4.1,6.4,7.8,1.0,19.2,48231
E01004621,Wandsworth 019D,38,83.3,3.7,6.9,5.3,0.8,16.7,51342
E01004623,Wandsworth 019E,118,84.4,3.1,6.2,5.9,0.4,15.6,52842
E01004627,Wandsworth 019F,152,85.7,3.4,3.8,6.3,0.7,14.3,58261
E01004499,Wandsworth 020A,108,79.1,3.4,9.1,6.7,1.7,20.9,50106
E01004502,Wandsworth 020B,111,83.0,5.0,9.3,1.6,1.1,17.0,58243
E01004504,Wandsworth 020C,67,73.5,3.7,18.8,2.5,1.5,26.5,55385
E01004594,Wandsworth 020D,106,81.2,2.8,13.3,1.6,1.0,18.8,57306
E01004596,Wandsworth 020E,133,83.7,3.0,9.7,2.8,0.9,16.3,59470
E01004629,Wandsworth 020F,66,74.9,5.1,14.6,2.9,2.5,25.1,52997
E01004472,Wandsworth 021A,138,81.9,3.6,7.9,6.0,0.7,18.1,56004
E01004474,Wandsworth 021B,125,74.7,4.2,9.2,10.0,2.0,25.3,42189
E01004476,Wandsworth 021C,89,75.2,3.8,12.3,7.2,1.5,24.8,44717
E01004542,Wandsworth 021D,117,85.4,3.9,3.8,6.4,0.6,14.6,62619
E01004544,Wandsworth 021E,137,80.7,2.9,6.7,8.0,1.8,19.3,61186
E01004628,Wandsworth 022A,100,67.8,4.0,17.2,9.0,1.9,32.2,37240
E01004630,Wandsworth 022B,151,55.5,7.3,17.2,16.6,3.4,44.5,26526
E01004631,Wandsworth 022C,95,68.0,3.6,16.7,7.5,4.2,32.0,31900
E01004633,Wandsworth 022D,189,52.8,8.2,15.9,19.5,3.6,47.2,27986
E01004569,Wandsworth 023A,85,68.3,6.3,11.2,11.3,2.8,31.7,31017
E01004570,Wandsworth 023B,173,59.0,11.1,11.0,15.4,3.6,41.0,21011
E01004571,Wandsworth 023C,145,65.4,4.7,11.2,14.3,4.4,34.6,23538
E01004573,Wandsworth 023D,10,68.4,5.3,16.3,7.5,2.5,31.6,31026
E01004495,Wandsworth 024A,124,48.3,5.3,17.4,26.5,2.5,51.7,29674
E01004496,Wandsworth 024B,111,82.3,3.6,8.5,4.1,1.5,17.7,45237
E01004497,Wandsworth 024C,84,80.1,5.1,5.6,8.0,1.2,19.9,39336
E01004622,Wandsworth 024D,96,68.3,6.8,8.2,14.8,1.9,31.7,37783
E01004624,Wandsworth 024E,39,82.8,4.2,4.8,7.8,0.4,17.2,44760
E01004593,Wandsworth 025A,82,77.0,4.2,12.5,3.9,2.5,23.0,43418
E01004595,Wandsworth 025B,75,81.5,4.0,9.7,3.5,1.3,18.5,47434
E01004597,Wandsworth 025C,122,78.8,3.4,9.0,7.4,1.4,21.2,50799
E01004598,Wandsworth 025D,121,84.7,3.9,6.4,3.5,1.6,15.3,52046
