codes,smr
E01000576,1.083256331
E01000577,0.664347613
E01000578,1.498727463
E01000579,1.178982523
E01000580,1.52641563
E01000581,0.764358362
E01000582,1.34720596
E01000583,0.886394208
E01000584,1.010561493
E01000585,0.635904881
E01000586,0.436164304
E01000587,1.208345429
E01000588,0.94203862
E01000589,1.556234396
E01000590,1.112823124
E01000591,1.187407498
E01000592,1.367354035
E01000593,0.800909476
E01000594,1.267597296
E01000595,1.969051013
E01000596,1.41038031
E01000599,2.778019509
E01000600,1.383013551
E01000601,1.636690364
E01000602,1.814397922
E01000603,1.797057079
E01000604,1.825877872
E01000605,0.939191351
E01000606,1.433494748
E01000607,0.742798016
E01000608,1.397055277
E01000609,1.215172565
E01000610,1.174815957
E01000611,0.944447566
E01000612,1.289632906
E01000613,1.431986383
E01000615,0.961931497
E01000616,0.849070535
E01000617,1.249732917
E01000618,1.305480021
E01000619,0.986197048
E01000620,1.071445502
E01000621,0.936001267
E01000622,0.960033756
E01000623,1.441684832
E01000624,1.144474308
E01000625,0.683715405
E01000626,2.192532767
E01000627,1.282391314
E01000628,1.354210868
E01000629,1.620109916
E01000630,1.124255878
E01000631,0.94801359
E01000632,0.383555258
E01000633,0.881774241
E01000634,1.227802239
E01000635,0.719925455
E01000636,1.089019836
E01000637,0.901318214
E01000638,0.735886154
E01000639,0.705329889
E01000640,1.272738098
E01000641,1.562715743
E01000642,1.280941335
E01000643,2.851730226
E01000644,1.127525178
E01000645,0.50401435
E01000646,0.992552162
E01000647,1.00122727
E01000648,1.421331139
E01000649,0.808166966
E01000650,1.272831679
E01000651,1.660993899
E01000652,1.177986683
E01000653,0.623401747
E01000654,1.554866219
E01000655,1.286281834
E01000656,0.883047845
E01000657,1.334129732
E01000658,1.098160823
E01000659,0.70222437
E01000661,1.709278735
E01000662,2.261572753
E01000663,1.133536014
E01000664,0.660536379
E01000665,1.471333527
E01000666,0.901463999
E01000667,0.739879204
E01000668,1.541134401
E01000669,0.811896682
E01000670,0.928779784
E01000671,0.812836739
E01000672,1.076931207
E01000673,0.474494526
E01000674,1.069052197
E01000675,0.959814034
E01000676,1.514975758
E01000677,1.150230378
E01000678,1.381048917
E01000679,0.895277149
E01000680,1.202684624
E01000681,0.693530891
E01000682,0.76207331
E01000683,0.848502385
E01000684,0.689296316
E01000685,1.420203559
E01000686,1.624587339
E01000687,0.696229799
E01000688,0.749768306
E01000689,1.375151325
E01000690,0.729443669
E01000691,1.126315464
E01000692,0.581893563
E01000693,0.9465656
E01000694,0.810635169
E01000695,0.776251411
E01000696,0.765771613
E01000697,0.686859329
E01000698,1.56298967
E01000699,1.056554582
E01000700,0.872666283
E01000701,1.339176318
E01000702,1.336210295
E01000703,0.878208712
E01000704,0.63684913
E01000705,1.376491699
E01000706,1.6370359
E01000707,1.011745791
E01000708,1.205132165
E01000709,1.950649052
E01000710,0.800361324
E01000711,1.691413963
E01000712,1.41870464
E01000713,1.298569824
E01000714,1.22625305
E01000715,0.751238927
E01000716,0.799314265
E01000717,1.215012514
E01000718,0.95397741
E01000719,1.233430154
E01000720,2.109687059
E01000721,0.992377556
E01000722,1.274226708
E01000723,1.933107103
E01000724,1.359498946
E01000725,1.050596614
E01000726,1.180565509
E01000727,1.383754544
E01000728,1.296796087
E01000729,1.602679287
E01000730,1.585149975
E01000731,1.799145294
E01000732,0.84717871
E01000733,1.828498721
E01000734,0.684685813
E01000735,1.36961047
E01000736,1.289516917
E01000737,1.545487157
E01000738,1.470881382
E01000739,2.190680644
E01000740,1.742620748
E01000741,2.065284689
E01000742,1.197919364
E01000743,2.354564351
E01000744,2.331629091
E01000745,1.282084067
E01000746,0.884050982
E01000747,1.452129279
E01000748,0.914166949
E01000749,1.01372475
E01000750,1.840524834
E01000751,1.382674635
E01000752,1.358512335
E01000753,0.958986539
E01000754,1.122875333
E01000755,1.228698881
E01000756,1.162673368
E01000757,1.009909477
E01000758,1.595776733
E01000759,0.693076429
E01000760,1.313035762
E01000761,0.507724246
E01000762,0.655041973
E01000763,1.237277328
E01000764,0.952281655
E01000765,1.203027897
E01000766,0.505721454
E01000767,0.886376417
E01000768,1.388971048
E01000769,1.115837035
E01000770,1.055019108
E01000771,0.722631816
E01000772,1.207418564
E01000773,0.770223096
E01000774,0.727502485
E01000775,1.336374191
E01000777,0.672080224
E01000778,1.08187438
E01000779,1.161091452
